StoreCode,AnnualSales,Sales,SFloorSize,TotalInvestment
184,976817,4884.085,200,364427.75
185,845000,4225,200,44343.71
186,1926395,12842.63,150,364427.75
187,976817,2382.48,410,89166.67
188,600000,5454.545,110,45066.89
189,694227,9917.528,70,364427.75
190,760000,5066.667,150,44343.71
191,976817,9768.17,100,50000
192,156168,6246.72,25,102859.85
193,495340,6191.75,80,45066.89
194,1378586,5143.978,268,27207.04
195,1164149,12934.99,90,78894.12
196,1200000,8000,150,325000
197,976817,12210.21,80,45066.89
198,694227,9256.36,75,45066.89
199,694227,3305.843,210,78894.12
200,694227,4958.764,140,78894.12
201,694227,4958.764,140,67269.23
202,1926395,4815.987,400,422207.04
203,301133,3764.163,80,45066.89
204,1340000,8375,160,75269.23
205,785000,4361.111,180,40000
206,1400000,4117.647,340,82269.23
207,2700000,27000,100,31207.04
208,1926395,8756.341,220,352857.2
209,694227,6428.028,108,45066.89
210,600000,6000,100,44343.71
211,976817,8880.154,110,250000
212,694227,5785.225,120,137269.23
213,694227,4338.919,160,45066.89
214,495340,4127.833,120,38177.04
215,495340,3669.185,135,44343.71
216,350000,2916.667,120,30000
217,77369,910.2235,85,45066.89
218,976817,5141.142,190,72570.55
219,1475000,4402.985,335,78894.12
220,795655,1768.122,450,44343.71
221,570000,5700,100,45066.89
222,976817,6977.264,140,42177.04
223,711661,6469.646,110,32207.04
224,156168,6246.72,25,45066.89
225,960000,7680,125,78894.12
226,860000,3822.222,225,70269.23
227,694227,8677.838,80,45066.89
228,777102,5180.68,150,44343.71
229,976817,3256.057,300,44343.71
230,770200,2026.842,380,78894.12
231,560000,7000,80,6000
232,495340,3810.308,130,27166.67
233,1182183,1688.833,700,123759.04
234,694227,12622.31,55,32859.85
235,716000,7955.556,90,64019.23
236,976817,4341.409,225,364427.75
237,495340,2896.725,171,45066.89
238,820000,6833.333,120,38207.04
239,1040000,11555.56,90,31207.04
240,3545901,23639.34,150,34207.04
241,900000,3600,250,77989.23
242,436000,7266.667,60,45066.89
243,800000,8000,100,45066.89
244,301133,7528.325,40,45066.89
245,495340,7620.615,65,11000
246,1400000,7777.778,180,27207.04
247,640000,3878.788,165,24207.04
248,301133,6022.66,50,45066.89
249,495340,1905.154,260,78894.12
250,156168,3904.2,40,45066.89
251,971500,3736.539,260,294340.2
252,812397,9026.634,90,24050.67
253,1054268,10542.68,100,37207.04
254,750000,8823.529,85,45066.89
255,77369,1547.38,50,45066.89
256,126179,3154.475,40,22807.04
257,1378586,12883.98,107,32207.04
258,694227,10680.42,65,294857.2
259,1378586,14360.27,96,45066.89
260,976817,2790.906,350,364427.75
261,490000,8166.667,60,45066.89
262,301133,4182.403,72,23707.04
263,,,0,
264,1130000,13294.12,85,10800
265,156168,4338,36,45066.89
266,976817,13954.53,70,78894.12
267,1000000,8333.333,120,122207.04
268,1926395,19263.95,100,364427.75
269,243517,4427.582,55,24683.04
270,301133,3764.163,80,88450
271,4000000,9302.325,430,45066.89
272,750000,3750,200,78894.12
273,301133,3011.33,100,45066.89
274,850000,7727.273,110,22166.67
275,301133,2737.573,110,45066.89
276,229000,2726.19,84,45066.89
277,400000,5000,80,78894.12
278,976817,15027.95,65,16000
279,976817,12210.21,80,27207.04
280,1926395,7705.58,250,364427.75
281,1378586,5105.874,270,78894.12
282,2737701,7822.003,350,78894.12
283,694227,4958.764,140,364427.75
284,800000,5333.333,150,19166.67
285,890700,7125.6,125,70269.23
286,1891500,5404.286,350,302357.2
287,60000,300,200,45066.89
288,976817,6105.106,160,45066.89
289,976817,3907.268,250,364427.75
290,976817,3907.268,250,364427.75
291,1076500,5053.991,213,78894.12
292,1378586,6352.931,217,44343.71
293,409167,5114.587,80,28107.04
294,694227,15427.27,45,28207.04
295,900000,5000,180,140000
296,1926395,5503.986,350,78969.23
297,976817,4884.085,200,22557.04
298,887000,10313.95,86,307857.2
299,2737701,10950.8,250,45066.89
300,1300000,8666.667,150,45066.89
301,156168,3549.273,44,45066.89
302,1000000,10638.3,94,52859.85
303,528000,6600,80,78894.12
304,77369,1934.225,40,45066.89
305,1926395,13759.96,140,44343.71
306,694227,6942.27,100,27166.67
307,475000,11309.52,42,24207.04
308,800000,5555.556,144,67269.23
309,984717,5182.721,190,45066.89
310,77369,859.6556,90,78894.12
311,976817,4884.085,200,78894.12
312,495340,6191.75,80,31624.89
313,1926395,5665.868,340,145000
314,301133,5018.883,60,45066.89
315,196065,3267.75,60,45066.89
316,1100000,5238.095,210,78269.23
317,50000,3125,16,45066.89
318,495340,8255.667,60,45066.89
319,694227,6942.27,100,44343.71
320,1000000,7692.308,130,364427.75
321,797825,3989.125,200,64169.23
322,1413502,11129.94,127,15400
323,355724,5081.771,70,45066.89
324,777042,3885.21,200,78894.12
325,495340,5503.778,90,78894.12
326,775000,4078.947,190,200000
327,1000000,10000,100,45066.89
328,694227,6311.155,110,52207.04
329,480000,10666.67,45,45066.89
330,188790,3933.125,48,45066.89
331,575000,4107.143,140,78894.12
332,976817,3907.268,250,44343.71
333,725000,3625,200,44343.71
334,650000,6500,100,67269.23
335,976817,4440.077,220,22166.67
336,1100000,6111.111,180,45066.89
337,495340,7393.134,67,27859.85
338,375000,11718.75,32,45066.89
339,400000,3333.333,120,47177.04
340,495340,4503.091,110,77269.23
341,1400000,5384.615,260,15000
342,495340,6191.75,80,27207.04
343,694227,6942.27,100,78894.12
344,694227,4958.764,140,44343.71
345,525000,10937.5,48,45066.89
346,425000,2500,170,45066.89
347,1450000,3222.222,450,492857.2
348,655965,5963.318,110,68269.23
349,600000,10000,60,172207.04
350,300000,5000,60,23207.04
351,301133,5018.883,60,45066.89
352,694227,7713.633,90,126748
353,1286703,3216.758,400,44343.71
354,500000,8333.333,60,24359.85
355,650000,7647.059,85,15000
356,950000,5277.778,180,44343.71
357,930000,8086.957,115,32859.85
358,565400,14135,40,67269.23
359,634245,7047.167,90,37207.04
360,946412,5061.027,187,29707.04
361,1700000,4473.684,380,27166.67
362,605000,4033.333,150,45066.89
363,395000,4157.895,95,45066.89
364,1800000,5000,360,364427.75
365,2000000,8510.639,235,117166.67
366,1086835,9880.318,110,42859.85
367,1200000,8000,150,45066.89
368,1518000,7590,200,214000
369,732981,5235.579,140,45066.89
370,,,0,
371,,,0,
372,,,0,
373,,,0,
374,,,0,
375,,,0,
376,,,0,
377,,,0,
378,,,0,
379,,,0,
380,,,0,
381,536459,4291.672,125,5000
382,955867,6827.622,140,16600
383,1472900,12274.17,120,45066.89
384,445000,11125,40,45066.89
385,772665,5519.036,140,42859.85
386,1200000,9230.77,130,44707.04
387,420000,5600,75,45066.89
388,1067500,10675,100,31459.85
389,846000,6042.857,140,45000
390,500000,8333.333,60,47859.85
391,1993529,1642.116,1214,78894.12
392,695000,3861.111,180,294544.2
393,407400,2314.773,176,44343.71
394,1800000,3964.758,454,64719.23
395,1164688,5823.44,200,45066.89
396,500000,5000,100,97166.67
397,5000000,16666.67,300,419657.2
398,517381,5173.81,100,44343.71
399,1252320,3339.52,375,44343.71
400,600000,8571.429,70,45066.89
